Latitude,Longitude,GeoidHeight
25,113,-13.4
0,114,43.74
1,114,44.27
2,114,41.99
3,114,40.37
4,114,37.53
5,114,34.82
6,114,30.29
7,114,28.84
8,114,28.84
9,114,26.26
10,114,24.38
11,114,20.94
12,114,18.09
13,114,14.99
14,114,12.71
15,114,9.65
16,114,8.98
17,114,4.16
18,114,1.1
19,114,-0.08
20,114,-1.68
21,114,-3.96
22,114,-5.69
23,114,-7.56
24,114,-9.06
25,114,-10.93
0,115,46
1,115,46.83
2,115,46.63
3,115,44.16
4,115,41.93
5,115,38.73
6,115,37.31
7,115,31.5
8,115,31.3
9,115,30.14
10,115,28.09
11,115,25.89
12,115,22.3
13,115,19.52
14,115,17.07
15,115,14.12
16,115,12.07
17,115,8.5
18,115,5.44
19,115,2.88
20,115,1.73
21,115,0
22,115,-2.18
23,115,-3.67
24,115,-5.52
25,115,-7.03
