COUNTRY,GDP(BILLIONS),CODE,Name,WHORegion,Cases-cumulativetotal,Cases-cumulativetotalper100000population,Cases-newlyreportedinlast7days,Cases-newlyreportedinlast7daysper100000population,Cases-newlyreportedinlast24hours,Deaths-cumulativetotal,Deaths-cumulativetotalper100000population,Deaths-newlyreportedinlast7days,Deaths-newlyreportedinlast7daysper100000population,Deaths-newlyreportedinlast24hours
Sao Tome and Principe,0.36,STP,Sao Tome and Principe,Africa,3600,1642.64,141,64.34,16,55,25.1,5,2.28,0
Saudi Arabia,777.9,SAU,Saudi Arabia,Eastern Mediterranean,547449,1572.5,315,0.9,47,8736,25.09,20,0.06,4
Senegal,15.88,SEN,Senegal,Africa,73825,440.91,50,0.3,9,1864,11.13,6,0.04,2
Serbia,42.65,SRB,Serbia,Europe,988307,14268.07,46318,668.69,6978,8582,123.9,348,5.02,51
Seychelles,1.47,SYC,Seychelles,Africa,21726,22091.17,219,222.68,21,112,113.88,0,0,0
Sierra Leone,5.41,SLE,Sierra Leone,Africa,6396,80.18,2,0.03,0,121,1.52,0,0,0
Singapore,307.9,SGP,Singapore,Western Pacific,116864,1997.56,20343,347.72,3483,136,2.32,41,0.7,3
Sint Maarten,304.1,SXM,Sint Maarten,Americas,4375,10202.42,92,214.54,20,68,158.57,2,4.66,0
Slovakia,99.75,SVK,Slovakia,Europe,422614,7743.2,8891,162.9,1690,12720,233.06,71,1.3,15
Slovenia,49.93,SVN,Slovenia,Europe,299243,14277.81,5877,280.41,968,4927,235.08,14,0.67,0
Solomon Islands,1.16,SLB,Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Somalia,2.37,SOM,Somalia,Eastern Mediterranean,20900,131.5,920,5.79,0,1152,7.25,41,0.26,0
South Africa,341.2,ZAF,South Africa,Africa,2909757,4906.12,7085,11.95,989,88104,148.55,478,0.81,123
South Sudan,11.89,SSD,South Sudan,Africa,12104,108.13,94,0.84,8,130,1.16,0,0,0
Spain,1400,ESP,Spain,Europe,4971310,10502.93,9562,20.2,775,86701,183.17,115,0.24,6
Sri Lanka,71.57,LKA,Sri Lanka,South-East Asia,523550,2444.98,4775,22.3,0,13229,61.78,265,1.24,0
Sudan,70.03,SDN,Sudan,Eastern Mediterranean,38746,88.36,422,0.96,76,2951,6.73,75,0.17,75
Suriname,5.27,SUR,Suriname,Americas,43409,7399.7,1990,339.22,330,936,159.55,57,9.72,9
Swaziland,3.84,SWZ,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Sweden,559.1,SWE,Sweden,Europe,1157083,11203.81,4236,41.02,844,14904,144.31,12,0.12,2
Switzerland,679,CHE,Switzerland,Europe,843886,9750.7,5285,61.07,1,10681,123.41,17,0.2,0
Syria,64.7,SYR,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Taiwan,529.5,TWN,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Tajikistan,9.16,TJK,Tajikistan,Europe,17484,183.32,0,0,0,125,1.31,0,0,0
Tanzania,36.62,TZA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Thailand,373.8,THA,Thailand,South-East Asia,1689437,2420.4,74208,106.32,11140,17534,25.12,684,0.98,116
Timor-Leste,4.51,TLS,Timor-Leste,South-East Asia,19651,1490.47,116,8.8,18,119,9.03,2,0.15,0
Togo,4.84,TGO,Togo,Africa,25705,310.49,276,3.33,52,235,2.84,6,0.07,1
Tonga,0.49,TON,Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,29.63,TTO,Trinidad and Tobago,Americas,51813,3702.28,1354,96.75,208,1522,108.75,48,3.43,6
Tunisia,49.12,TUN,Tunisia,Eastern Mediterranean,709001,5999.02,1811,15.32,0,24971,211.29,81,0.69,0
Turkey,813.3,TUR,Turkey,Europe,7357336,8723.52,203266,241.01,30019,65590,77.77,1536,1.82,217
Turkmenistan,43.5,TKM,Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,0.04,TUV,Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
Uganda,26.09,UGA,Uganda,Africa,124437,272.05,695,1.52,183,3172,6.93,11,0.02,2
Ukraine,134.9,UKR,Ukraine,Europe,2514005,5748.43,78592,179.71,16362,58081,132.81,1635,3.74,241
United Arab Emirates,416.4,ARE,United Arab Emirates,Eastern Mediterranean,737373,7455.44,1381,13.96,144,2109,21.32,12,0.12,2
United Kingdom,2848,GBR,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
United States of America,17420,USA,United States of America,Americas,43792254,13230.18,706288,213.38,112980,703599,212.57,12318,3.72,1891
Uruguay,55.6,URY,Uruguay,Americas,389505,11212.87,683,19.66,142,6062,174.51,8,0.23,3
Uzbekistan,63.08,UZB,Uzbekistan,Europe,177383,529.99,2975,8.89,419,1263,3.77,21,0.06,3
Vanuatu,0.82,VUT,Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Venezuela,209.2,VEN,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Vietnam,187.8,VNM,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Virgin Islands,5.08,VGB,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
West Bank,6.64,WBG,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Yemen,45.45,YEM,Yemen,Eastern Mediterranean,9299,31.18,232,0.78,28,1765,5.92,44,0.15,2
Zambia,25.61,ZMB,Zambia,Africa,209283,1138.4,237,1.29,35,3653,19.87,5,0.03,1
Zimbabwe,13.74,ZWE,Zimbabwe,Africa,131523,884.91,703,4.73,89,4631,31.16,8,0.05,1
