,pop_F,pop_M,pop_MF,hholds,fullname,leaf_value1
1783,10788,10630,21418,17412,อภ.นิคมพัฒนา,1
1784,16516,16816,33332,11016,อภ.น้ำขุ่น,1
1785,16610,16588,33198,12043,อภ.น้ำปาด,1
1786,36898,36352,73250,22225,อภ.น้ำพอง,1
1787,30262,31141,61403,20871,อภ.น้ำยืน,1
1788,9115,9552,18667,7165,อภ.น้ำหนาว,1
1789,21936,22456,44392,11333,อภ.น้ำเกลี้ยง,1
1790,20360,20807,41167,13398,อภ.น้ำโสม,1
1791,50878,50620,101498,34424,อภ.บรบือ,1
1792,41333,39696,81029,28809,อภ.บรรพตพิสัย,1
1793,27705,28716,56421,15968,อภ.บันนังสตา,1
1794,10814,10680,21494,6473,อภ.บัวลาย,1
1795,17204,17842,35046,9865,อภ.บัวเชด,1
1796,33735,33815,67550,19319,อภ.บัวใหญ่,1
1797,18552,15760,34312,19869,อภ.บางกรวย,1
1798,16771,15849,32620,11878,อภ.บางกระทุ่ม,1
1799,5100,5004,10104,3564,อภ.บางกล่ำ,1
1800,23506,24007,47513,16804,อภ.บางขัน,1
1801,14236,12922,27158,9997,อภ.บางคนที,1
1802,15818,14812,30630,12771,อภ.บางคล้า,1
1803,7039,6876,13915,4486,อภ.บางซ้าย,1
1804,36801,36331,73132,22458,อภ.บางน้ำเปรี้ยว,1
1805,100127,87502,187629,98118,อภ.บางบัวทอง,1
1806,7481,6926,14407,5490,อภ.บางบาล,1
1807,48735,46049,94784,46974,อภ.บางบ่อ,1
1808,30099,28525,58624,19833,อภ.บางปลาม้า,1
1809,29146,28037,57183,27586,อภ.บางปะกง,1
1810,18748,17546,36294,12672,อภ.บางปะหัน,1
1811,27333,24855,52188,27283,อภ.บางปะอิน,1
1812,141887,125824,267711,173802,อภ.บางพลี,1
1813,10520,9838,20358,7989,อภ.บางมูลนาก,1
1814,37858,36631,74489,26305,อภ.บางระกำ,1
1815,9999,9324,19323,7153,อภ.บางระจัน,1
1816,15562,13866,29428,18682,อภ.บางละมุง,1
1817,31083,30506,61589,26778,อภ.บางสะพาน,1
1818,18444,18337,36781,16300,อภ.บางสะพานน้อย,1
1819,40586,39556,80142,29331,อภ.บางเลน,1
1820,31173,29125,60298,45276,อภ.บางเสาธง,1
1821,9049,8872,17921,6478,อภ.บางแก้ว,1
1822,9310,8531,17841,6636,อภ.บางแพ,1
1823,56388,48652,105040,52740,อภ.บางใหญ่,1
