latitude,longitude,geoid_height
4.0601,96.5789,-32.237
4.0601,96.5931,-32.134
4.0601,96.6072,-32.04
4.0601,96.6213,-31.955
4.0601,96.6354,-31.875
4.0601,96.6496,-31.8
4.0601,96.6637,-31.73
4.0601,96.6778,-31.665
4.0601,96.6919,-31.604
4.0601,96.706,-31.553
4.0601,96.7202,-31.512
4.0601,96.7343,-31.483
4.0601,96.7484,-31.466
4.0601,96.7625,-31.455
4.0601,96.7766,-31.454
4.0601,96.7908,-31.458
4.0601,96.8049,-31.465
4.0601,96.819,-31.473
4.0601,96.8331,-31.482
4.0601,96.8472,-31.491
4.0601,96.8614,-31.498
4.0601,96.8755,-31.504
4.0601,96.8896,-31.508
4.0601,96.9037,-31.513
4.0601,96.9178,-31.517
4.0601,96.932,-31.516
4.0601,96.9461,-31.51
4.0601,96.9602,-31.501
4.0601,96.9743,-31.489
4.0601,96.9884,-31.474
4.0751,96,-36.329
4.0751,96.0141,-36.218
4.0751,96.0282,-36.114
4.0751,96.0424,-36.016
4.0751,96.0565,-35.923
4.0751,96.0706,-35.834
4.0751,96.0847,-35.746
4.0751,96.0988,-35.664
4.0751,96.113,-35.582
4.0751,96.1271,-35.503
4.0751,96.1412,-35.422
4.0751,96.1553,-35.34
4.0751,96.1694,-35.255
4.0751,96.1836,-35.172
4.0751,96.1977,-35.089
4.0751,96.2118,-35.008
4.0751,96.2259,-34.933
4.0751,96.2401,-34.86
4.0751,96.2542,-34.789
4.0751,96.2683,-34.718
4.0751,96.2824,-34.649
4.0751,96.2965,-34.579
4.0751,96.3107,-34.509
4.0751,96.3248,-34.437
4.0751,96.3389,-34.364
4.0751,96.353,-34.286
4.0751,96.3671,-34.202
4.0751,96.3813,-34.111
4.0751,96.3954,-34.012
4.0751,96.4095,-33.906
4.0751,96.4236,-33.792
4.0751,96.4377,-33.668
4.0751,96.4519,-33.542
4.0751,96.466,-33.41
4.0751,96.4801,-33.277
4.0751,96.4942,-33.144
4.0751,96.5083,-33.012
4.0751,96.5225,-32.882
4.0751,96.5366,-32.756
4.0751,96.5507,-32.635
4.0751,96.5648,-32.519
4.0751,96.5789,-32.411
4.0751,96.5931,-32.312
4.0751,96.6072,-32.221
4.0751,96.6213,-32.137
4.0751,96.6354,-32.06
4.0751,96.6496,-31.985
4.0751,96.6637,-31.915
4.0751,96.6778,-31.848
4.0751,96.6919,-31.787
4.0751,96.706,-31.733
4.0751,96.7202,-31.691
4.0751,96.7343,-31.659
4.0751,96.7484,-31.636
4.0751,96.7625,-31.624
4.0751,96.7766,-31.618
4.0751,96.7908,-31.618
4.0751,96.8049,-31.621
4.0751,96.819,-31.623
4.0751,96.8331,-31.629
4.0751,96.8472,-31.633
4.0751,96.8614,-31.635
4.0751,96.8755,-31.636
4.0751,96.8896,-31.635
4.0751,96.9037,-31.635
4.0751,96.9178,-31.631
4.0751,96.932,-31.627
4.0751,96.9461,-31.617
4.0751,96.9602,-31.605
4.0751,96.9743,-31.59
4.0751,96.9884,-31.573
4.0901,96,-36.427
4.0901,96.0141,-36.318
4.0901,96.0282,-36.214
4.0901,96.0424,-36.118
4.0901,96.0565,-36.026
4.0901,96.0706,-35.935
4.0901,96.0847,-35.849
4.0901,96.0988,-35.767
4.0901,96.113,-35.689
4.0901,96.1271,-35.611
4.0901,96.1412,-35.533
4.0901,96.1553,-35.452
4.0901,96.1694,-35.373
4.0901,96.1836,-35.293
4.0901,96.1977,-35.212
4.0901,96.2118,-35.135
4.0901,96.2259,-35.066
4.0901,96.2401,-35
4.0901,96.2542,-34.932
4.0901,96.2683,-34.867
4.0901,96.2824,-34.802
4.0901,96.2965,-34.735
4.0901,96.3107,-34.666
4.0901,96.3248,-34.597
4.0901,96.3389,-34.526
4.0901,96.353,-34.448
4.0901,96.3671,-34.366
4.0901,96.3813,-34.275
4.0901,96.3954,-34.175
4.0901,96.4095,-34.069
4.0901,96.4236,-33.955
4.0901,96.4377,-33.832
4.0901,96.4519,-33.704
4.0901,96.466,-33.573
4.0901,96.4801,-33.439
4.0901,96.4942,-33.305
4.0901,96.5083,-33.174
4.0901,96.5225,-33.045
4.0901,96.5366,-32.92
4.0901,96.5507,-32.8
4.0901,96.5648,-32.689
4.0901,96.5789,-32.585
4.0901,96.5931,-32.489
4.0901,96.6072,-32.399
4.0901,96.6213,-32.318
4.0901,96.6354,-32.241
4.0901,96.6496,-32.167
4.0901,96.6637,-32.097
4.0901,96.6778,-32.03
4.0901,96.6919,-31.968
4.0901,96.706,-31.912
4.0901,96.7202,-31.867
4.0901,96.7343,-31.831
4.0901,96.7484,-31.805
4.0901,96.7625,-31.788
4.0901,96.7766,-31.778
4.0901,96.7908,-31.773
4.0901,96.8049,-31.771
4.0901,96.819,-31.77
4.0901,96.8331,-31.771
4.0901,96.8472,-31.769
4.0901,96.8614,-31.766
4.0901,96.8755,-31.762
4.0901,96.8896,-31.757
4.0901,96.9037,-31.752
4.0901,96.9178,-31.743
4.0901,96.932,-31.733
4.0901,96.9461,-31.72
4.0901,96.9602,-31.703
4.0901,96.9743,-31.684
4.0901,96.9884,-31.665
4.1051,96,-36.526
4.1051,96.0141,-36.417
4.1051,96.0282,-36.316
4.1051,96.0424,-36.22
4.1051,96.0565,-36.128
4.1051,96.0706,-36.039
4.1051,96.0847,-35.955
4.1051,96.0988,-35.874
4.1051,96.113,-35.796
4.1051,96.1271,-35.721
4.1051,96.1412,-35.645
4.1051,96.1553,-35.568
4.1051,96.1694,-35.491
4.1051,96.1836,-35.414
4.1051,96.1977,-35.34
4.1051,96.2118,-35.269
4.1051,96.2259,-35.205
4.1051,96.2401,-35.142
4.1051,96.2542,-35.081
4.1051,96.2683,-35.02
4.1051,96.2824,-34.956
4.1051,96.2965,-34.893
4.1051,96.3107,-34.824
4.1051,96.3248,-34.756
4.1051,96.3389,-34.684
4.1051,96.353,-34.606
4.1051,96.3671,-34.523
4.1051,96.3813,-34.432
4.1051,96.3954,-34.333
4.1051,96.4095,-34.226
4.1051,96.4236,-34.112
4.1051,96.4377,-33.989
4.1051,96.4519,-33.862
4.1051,96.466,-33.731
4.1051,96.4801,-33.597
4.1051,96.4942,-33.465
4.1051,96.5083,-33.332
4.1051,96.5225,-33.205
4.1051,96.5366,-33.082
4.1051,96.5507,-32.964
4.1051,96.5648,-32.855
4.1051,96.5789,-32.752
4.1051,96.5931,-32.658
4.1051,96.6072,-32.57
4.1051,96.6213,-32.489
4.1051,96.6354,-32.414
