index,pop_F,pop_M,pop_MF,hholds,fullname
424,1958,1823,3781,1234,ทต.น้ำปลีก
425,1552,1394,2946,1581,ทต.น้ำปาด
426,2564,2386,4950,2433,ทต.น้ำพอง
427,4546,4490,9036,3378,ทต.น้ำยืน
428,3504,3394,6898,2579,ทต.น้ำริด
429,1815,1769,3584,1215,ทต.น้ำสวย
430,1701,1589,3290,1333,ทต.น้ำเชี่ยว
431,4897,4732,9629,3495,ทต.น้ำโจ้
432,4417,4254,8671,2547,ทต.น้ำโสม
433,5049,5134,10183,2955,ทต.บงใต้
434,3056,2615,5671,2320,ทต.บรบือ
435,2016,1839,3855,1828,ทต.บรรพตพิสัย
436,4470,4067,8537,3874,ทต.บวกค้าง
437,1300,1311,2611,979,ทต.บันนังสตา
438,3918,3903,7821,2436,ทต.บัลลังก์
439,3358,3382,6740,1854,ทต.บัวงาม
440,6660,6333,12993,4429,ทต.บัวบาน
441,2940,2951,5891,1885,ทต.บัววัฒนา
442,3291,3199,6490,2381,ทต.บัวเชด
443,7261,6276,13537,8744,ทต.บางกระทึก
444,709,683,1392,615,ทต.บางกระทุ่ม
445,6999,6163,13162,5629,ทต.บางกระสั้น
446,2638,2474,5112,2164,ทต.บางกะจะ
447,996,919,1915,584,ทต.บางกุ้ง
448,1038,1046,2084,782,ทต.บางขนาก
449,4990,4291,9281,4853,ทต.บางคล้า
450,3998,3670,7668,2777,ทต.บางจัก
451,952,865,1817,659,ทต.บางจาก
452,2680,2568,5248,1831,ทต.บางซ้าย
453,2633,2504,5137,1862,ทต.บางตะบูน
454,5246,6433,11679,7448,ทต.บางทราย
455,948,794,1742,853,ทต.บางนกแขวก
456,3957,3550,7507,4080,ทต.บางนมโค
457,1781,1625,3406,1362,ทต.บางน้ำเชี่ยว
458,1203,1152,2355,1188,ทต.บางน้ำเปรี้ยว
459,5793,5219,11012,3713,ทต.บางบาล
460,3362,3083,6445,2331,ทต.บางบ่อ
461,2552,2469,5021,1565,ทต.บางประมุง
462,3604,3358,6962,4327,ทต.บางปลา
463,990,938,1928,662,ทต.บางปลาม้า
464,3232,2926,6158,2903,ทต.บางปะกง
465,2795,2495,5290,2219,ทต.บางปะหัน
466,3454,3353,6807,2193,ทต.บางปะอิน
467,61898,57602,119500,59612,ทต.บางปู
468,5230,5183,10413,2257,ทต.บางปู
469,6986,6394,13380,7709,ทต.บางพระ
470,5831,5068,10899,5979,ทต.บางพลับ
471,5934,5903,11837,2197,ทต.บางพลี
472,13615,12168,25783,19879,ทต.บางพูน
473,3107,2994,6101,2753,ทต.บางม่วง
474,2249,2030,4279,1975,ทต.บางระกำ
475,6524,5960,12484,8982,ทต.บางละมุง
476,1550,1422,2972,1956,ทต.บางวัว
477,5783,5298,11081,8208,ทต.บางวัวคณารักษ์
478,2027,2012,4039,1929,ทต.บางสวรรค์
479,1492,1461,2953,1503,ทต.บางสะพานน้อย
480,2844,2537,5381,2610,ทต.บางหลวง
481,1090,1018,2108,769,ทต.บางหลวง
482,3729,3404,7133,4485,ทต.บางหลวง
483,5631,5342,10973,4494,ทต.บางเตย
484,53123,46603,99726,50039,ทต.บางเมือง
485,4221,4216,8437,4094,ทต.บางเลน
486,6257,5331,11588,9206,ทต.บางเสร่
487,11349,10405,21754,17089,ทต.บางเสาธง
488,1933,1865,3798,1421,ทต.บางแก้ว
489,8418,7691,16109,6461,ทต.บางแพ
490,6259,5824,12083,5813,ทต.บางใหญ่
491,5230,5017,10247,3779,ทต.บางไทร
492,797,719,1516,627,ทต.บางไผ่
493,4760,4758,9518,2277,ทต.บาเจาะ
494,3625,3352,6977,2964,ทต.บำเหน็จณรงค์
495,3157,3004,6161,1803,ทต.บึงบูรพ์
496,2276,2125,4401,1676,ทต.บึงระมาณ
497,4930,4847,9777,3335,ทต.บึงโขงหลง
498,3072,2920,5992,2513,ทต.บุญเรือง
499,2261,2194,4455,2064,ทต.บุณฑริก
500,5075,5206,10281,2769,ทต.บุสูง
501,2575,2467,5042,1381,ทต.บูเก๊ะตา
502,3687,3528,7215,2623,ทต.บ่อ
503,1051,927,1978,741,ทต.บ่อกรุ
504,5659,5447,11106,3472,ทต.บ่อตรุ
505,6323,10194,16517,5868,ทต.บ่อทอง
506,2151,2090,4241,2041,ทต.บ่อทอง
507,4396,4367,8763,5648,ทต.บ่อพลอย
508,3512,3468,6980,2703,ทต.บ่อพลอย
509,5010,4535,9545,4770,ทต.บ่อพลับ
510,6030,6096,12126,3829,ทต.บ่อหลวง
511,2074,2300,4374,2511,ทต.บ่อเวฬุ
512,4793,4290,9083,4123,ทต.บ่อแฮ้ว
513,4894,4722,9616,2983,ทต.บ่อไทย
514,2003,1952,3955,1953,ทต.บ้านกรวด
515,4666,4658,9324,2677,ทต.บ้านกรวดปัญญาวัฒน์
516,2189,1981,4170,2294,ทต.บ้านกรูด
517,6131,5263,11394,11061,ทต.บ้านกลาง
518,6538,5863,12401,6357,ทต.บ้านกลาง
519,5456,4828,10284,5320,ทต.บ้านกลาง
520,3661,3296,6957,3493,ทต.บ้านกล้วย
521,8535,7593,16128,7105,ทต.บ้านกล้วย
522,1756,1568,3324,2022,ทต.บ้านค่าย
523,2535,2413,4948,1894,ทต.บ้านค่ายหมื่นแผ้ว
524,8563,8364,16927,6665,ทต.บ้านค้อ
525,4531,4111,8642,3433,ทต.บ้านฆ้อง
526,3759,3261,7020,3324,ทต.บ้านจั่น
527,7320,7095,14415,8481,ทต.บ้านฉาง
528,1946,1961,3907,1875,ทต.บ้านชัฏป่าหวาย
529,3933,3699,7632,2037,ทต.บ้านดอน
530,10753,9497,20250,13899,ทต.บ้านดู่
531,6134,5891,12025,3271,ทต.บ้านด่าน
532,1967,1901,3868,1378,ทต.บ้านด่านนาขาม
533,1446,1469,2915,1304,ทต.บ้านด่านโขงเจียม
534,3520,3048,6568,2700,ทต.บ้านตาก
535,1228,1168,2396,1801,ทต.บ้านตาขุน
536,3157,2953,6110,2245,ทต.บ้านต้า
537,3657,3443,7100,3221,ทต.บ้านต๊ำ
538,6793,5797,12590,7205,ทต.บ้านต๋อม
539,4083,4164,8247,3180,ทต.บ้านถ้ำ
540,1955,1930,3885,2097,ทต.บ้านท่าหลวง
541,8585,8335,16920,5103,ทต.บ้านธาตุ
542,4961,4525,9486,4289,ทต.บ้านธิ
543,4305,4128,8433,3329,ทต.บ้านนา
544,2609,2336,4945,2489,ทต.บ้านนา
545,1699,1585,3284,1638,ทต.บ้านนา
546,3804,3725,7529,3053,ทต.บ้านนา
547,1115,1124,2239,783,ทต.บ้านนาปรือ
