index,labels,ids,parents,pop_MF,pop_F,pop_M,hholds
1125,ทต.เขาพนม,TH/S_/81/ทต.เขาพนม,TH/S_/81,5752,2988,2764,2468
1126,ทต.เขาพระ,TH/CT/72/ทต.เขาพระ,TH/CT/72,5636,3026,2610,3229
1127,ทต.เขาพระ,TH/S_/นครศรีธรรมราช/ทต.เขาพระ,TH/S_/นครศรีธรรมราช,8188,4091,4097,3337
1128,ทต.เขาพระงาม,TH/CT/16/ทต.เขาพระงาม,TH/CT/16,25296,9267,16029,11806
1129,ทต.เขาย้อย,TH/W_/76/ทต.เขาย้อย,TH/W_/76,15339,8049,7290,8081
1130,ทต.เขาสมิง,TH/E_/23/ทต.เขาสมิง,TH/E_/23,1424,705,719,614
1131,ทต.เขาสวนกวาง,TH/NE/ขอนแก่น/ทต.เขาสวนกวาง,TH/NE/ขอนแก่น,10825,5441,5384,3633
1132,ทต.เขาหัวช้าง,TH/S_/93/ทต.เขาหัวช้าง,TH/S_/93,7146,3585,3561,2142
1133,ทต.เขาหินซ้อน,TH/E_/24/ทต.เขาหินซ้อน,TH/E_/24,3522,1793,1729,2587
1134,ทต.เขาแก้ว,TH/NE/42/ทต.เขาแก้ว,TH/NE/42,7789,3862,3927,2148
1135,ทต.เขื่องใน,TH/NE/34/ทต.เขื่องใน,TH/NE/34,4547,2332,2215,2053
1136,ทต.เขื่อนบางลาง,TH/S_/95/ทต.เขื่อนบางลาง,TH/S_/95,4485,2136,2349,2000
1137,ทต.เขื่อนอุบลรัตน์,TH/NE/ขอนแก่น/ทต.เขื่อนอุบลรัตน์,TH/NE/ขอนแก่น,4089,2079,2010,2075
1138,ทต.เคียนซา,TH/S_/84/ทต.เคียนซา,TH/S_/84,1706,838,868,741
1139,ทต.เจดีย์หลวง,TH/N_/57/ทต.เจดีย์หลวง,TH/N_/57,4820,2436,2384,2102
1140,ทต.เจดีย์แม่ครัว,TH/N_/เชียงใหม่/ทต.เจดีย์แม่ครัว,TH/N_/เชียงใหม่,8066,4227,3839,3862
1141,ทต.เจริญศิลป์,TH/NE/47/ทต.เจริญศิลป์,TH/NE/47,6859,3499,3360,2249
1142,ทต.เจ็ดเสมียน,TH/W_/70/ทต.เจ็ดเสมียน,TH/W_/70,5769,3021,2748,2219
1143,ทต.เจ้าเจ็ด,TH/CT/14/ทต.เจ้าเจ็ด,TH/CT/14,10748,5548,5200,3165
1144,ทต.เจ๊ะบิลัง,TH/S_/91/ทต.เจ๊ะบิลัง,TH/S_/91,4039,2023,2016,997
1145,ทต.เฉลียงทอง,TH/CT/67/ทต.เฉลียงทอง,TH/CT/67,7552,3779,3773,2556
1146,ทต.เชิงดอย,TH/N_/เชียงใหม่/ทต.เชิงดอย,TH/N_/เชียงใหม่,7720,4028,3692,3617
1147,ทต.เชิงทะเล,TH/S_/83/ทต.เชิงทะเล,TH/S_/83,6870,3806,3064,3661
1148,ทต.เชียงกลม,TH/NE/42/ทต.เชียงกลม,TH/NE/42,5172,2605,2567,1609
1149,ทต.เชียงกลาง,TH/N_/55/ทต.เชียงกลาง,TH/N_/55,9656,4926,4730,3909
1150,ทต.เชียงคาน,TH/NE/42/ทต.เชียงคาน,TH/NE/42,5167,2681,2486,2751
1151,ทต.เชียงคำ,TH/N_/56/ทต.เชียงคำ,TH/N_/56,6212,3389,2823,3667
1152,ทต.เชียงดาว,TH/N_/เชียงใหม่/ทต.เชียงดาว,TH/N_/เชียงใหม่,3974,2105,1869,2300
1153,ทต.เชียงม่วน,TH/N_/56/ทต.เชียงม่วน,TH/N_/56,8679,4355,4324,3845
1154,ทต.เชียงยืน,TH/NE/44/ทต.เชียงยืน,TH/NE/44,4687,2404,2283,2371
1155,ทต.เชียงรากน้อย,TH/CT/14/ทต.เชียงรากน้อย,TH/CT/14,10124,5229,4895,4340
1156,ทต.เชียงเครือ,TH/NE/47/ทต.เชียงเครือ,TH/NE/47,17243,8935,8308,5974
1157,ทต.เชียงเพ็ง,TH/NE/41/ทต.เชียงเพ็ง,TH/NE/41,3999,2007,1992,1162
1158,ทต.เชียงใหม่,TH/NE/45/ทต.เชียงใหม่,TH/NE/45,8223,4160,4063,2404
1159,ทต.เชียรใหญ่,TH/S_/นครศรีธรรมราช/ทต.เชียรใหญ่,TH/S_/นครศรีธรรมราช,1622,818,804,748
1160,ทต.เดิมบาง,TH/CT/72/ทต.เดิมบาง,TH/CT/72,6770,3615,3155,2798
1161,ทต.เด่นชัย,TH/N_/54/ทต.เด่นชัย,TH/N_/54,11069,5822,5247,5144
1162,ทต.เทพกระษัตรี,TH/S_/83/ทต.เทพกระษัตรี,TH/S_/83,9256,4760,4496,4982
1163,ทต.เทพนคร,TH/CT/62/ทต.เทพนคร,TH/CT/62,20042,10289,9753,8332
1164,ทต.เทพราช,TH/E_/24/ทต.เทพราช,TH/E_/24,4274,2179,2095,1259
1165,ทต.เทพวงศา,TH/NE/34/ทต.เทพวงศา,TH/NE/34,11933,5926,6007,4039
1166,ทต.เทพสถิต,TH/NE/36/ทต.เทพสถิต,TH/NE/36,3842,1926,1916,2261
1167,ทต.เทพา,TH/S_/90/ทต.เทพา,TH/S_/90,2350,1200,1150,1056
1168,ทต.เทพาลัย,TH/NE/30/ทต.เทพาลัย,TH/NE/30,2802,1453,1349,839
1169,ทต.เนินกุ่ม,TH/CT/65/ทต.เนินกุ่ม,TH/CT/65,12005,6161,5844,4505
1170,ทต.เนินขาม,TH/CT/18/ทต.เนินขาม,TH/CT/18,5984,3133,2851,2622
1171,ทต.เนินฆ้อ,TH/E_/21/ทต.เนินฆ้อ,TH/E_/21,4599,2362,2237,1925
1172,ทต.เนินปอ,TH/CT/66/ทต.เนินปอ,TH/CT/66,9069,4538,4531,3069
1173,ทต.เนินมะกอก,TH/CT/66/ทต.เนินมะกอก,TH/CT/66,6804,3531,3273,2981
1174,ทต.เนินมะปราง,TH/CT/65/ทต.เนินมะปราง,TH/CT/65,3450,1780,1670,1583
1175,ทต.เนินสันติ,TH/S_/86/ทต.เนินสันติ,TH/S_/86,1878,974,904,1248
1176,ทต.เนินสูง,TH/E_/22/ทต.เนินสูง,TH/E_/22,3029,1585,1444,1646
1177,ทต.เบิกไพร,TH/W_/70/ทต.เบิกไพร,TH/W_/70,16073,8514,7559,6524
1178,ทต.เปือยน้อย,TH/NE/ขอนแก่น/ทต.เปือยน้อย,TH/NE/ขอนแก่น,5902,3027,2875,1976
1179,ทต.เฝ้าไร่,TH/NE/43/ทต.เฝ้าไร่,TH/NE/43,10942,5478,5464,3989
1180,ทต.เพ็ญ,TH/NE/41/ทต.เพ็ญ,TH/NE/41,2785,1403,1382,1578
1181,ทต.เมืองการุ้ง,TH/CT/61/ทต.เมืองการุ้ง,TH/CT/61,2135,1130,1005,991
1182,ทต.เมืองขุขันธ์,TH/NE/33/ทต.เมืองขุขันธ์,TH/NE/33,4369,2247,2122,2167
1183,ทต.เมืองคง,TH/NE/30/ทต.เมืองคง,TH/NE/30,2228,1157,1071,995
1184,ทต.เมืองคง,TH/NE/33/ทต.เมืองคง,TH/NE/33,3984,2038,1946,2101
1185,ทต.เมืองงาย,TH/N_/เชียงใหม่/ทต.เมืองงาย,TH/N_/เชียงใหม่,3826,2031,1795,1931
1186,ทต.เมืองที,TH/S_/32/ทต.เมืองที,TH/S_/32,1905,945,960,559
1187,ทต.เมืองนะ,TH/N_/เชียงใหม่/ทต.เมืองนะ,TH/N_/เชียงใหม่,37348,19024,18324,9198
1188,ทต.เมืองบัว,TH/NE/45/ทต.เมืองบัว,TH/NE/45,8458,4325,4133,2766
1189,ทต.เมืองพาน,TH/N_/57/ทต.เมืองพาน,TH/N_/57,6497,3473,3024,3500
1190,ทต.เมืองยาง,TH/NE/30/ทต.เมืองยาง,TH/NE/30,8131,4095,4036,2287
1191,ทต.เมืองรามันห์,TH/S_/95/ทต.เมืองรามันห์,TH/S_/95,5099,2580,2519,1865
1192,ทต.เมืองศรีไค,TH/NE/34/ทต.เมืองศรีไค,TH/NE/34,6161,3146,3015,3367
1193,ทต.เมืองสรวง,TH/NE/45/ทต.เมืองสรวง,TH/NE/45,9502,4792,4710,2827
1194,ทต.เมืองเก่า,TH/E_/25/ทต.เมืองเก่า,TH/E_/25,6584,3352,3232,4423
1195,ทต.เมืองเก่า,TH/CT/64/ทต.เมืองเก่า,TH/CT/64,7168,3829,3339,2581
1196,ทต.เมืองเก่า,TH/NE/ขอนแก่น/ทต.เมืองเก่า,TH/NE/ขอนแก่น,30996,16505,14491,17037
1197,ทต.เมืองแกลง,TH/E_/21/ทต.เมืองแกลง,TH/E_/21,18672,9793,8879,11600
1198,ทต.เมืองไพร,TH/NE/45/ทต.เมืองไพร,TH/NE/45,6250,3087,3163,1578
1199,ทต.เรณูนคร,TH/NE/48/ทต.เรณูนคร,TH/NE/48,4503,2386,2117,1691
1200,ทต.เลาขวัญ,TH/W_/71/ทต.เลาขวัญ,TH/W_/71,2629,1318,1311,1300
1201,ทต.เลิงนกทา,TH/NE/35/ทต.เลิงนกทา,TH/NE/35,2964,1529,1435,1083
1202,ทต.เวียง,TH/N_/56/ทต.เวียง,TH/N_/56,5484,2835,2649,2259
1203,ทต.เวียง,TH/N_/57/ทต.เวียง,TH/N_/57,9546,4837,4709,4198
1204,ทต.เวียงคำ,TH/NE/41/ทต.เวียงคำ,TH/NE/41,10490,5283,5207,3190
1205,ทต.เวียงคุก,TH/NE/43/ทต.เวียงคุก,TH/NE/43,5978,3111,2867,1888
1206,ทต.เวียงชัย,TH/N_/57/ทต.เวียงชัย,TH/N_/57,6790,3614,3176,3077
1207,ทต.เวียงต้า,TH/N_/54/ทต.เวียงต้า,TH/N_/54,6359,3151,3208,2435
1208,ทต.เวียงป่าเป้า,TH/N_/57/ทต.เวียงป่าเป้า,TH/N_/57,4547,2466,2081,2386
1209,ทต.เวียงฝาง,TH/N_/เชียงใหม่/ทต.เวียงฝาง,TH/N_/เชียงใหม่,8579,4481,4098,3937
1210,ทต.เวียงพร้าว,TH/N_/เชียงใหม่/ทต.เวียงพร้าว,TH/N_/เชียงใหม่,4821,2587,2234,2810
1211,ทต.เวียงพางคำ,TH/N_/57/ทต.เวียงพางคำ,TH/N_/57,22293,11934,10359,9670
1212,ทต.เวียงมอก,TH/N_/52/ทต.เวียงมอก,TH/N_/52,10277,5163,5114,3493
1213,ทต.เวียงยอง,TH/N_/51/ทต.เวียงยอง,TH/N_/51,6756,3616,3140,3329
1214,ทต.เวียงลอ,TH/N_/56/ทต.เวียงลอ,TH/N_/56,6183,3196,2987,2656
1215,ทต.เวียงสระ,TH/S_/84/ทต.เวียงสระ,TH/S_/84,9441,4960,4481,5762
1216,ทต.เวียงสา,TH/N_/55/ทต.เวียงสา,TH/N_/55,2862,1545,1317,1295
1217,ทต.เวียงเชียงของ,TH/N_/57/ทต.เวียงเชียงของ,TH/N_/57,3819,2027,1792,2342
1218,ทต.เวียงเชียงแสน,TH/N_/57/ทต.เวียงเชียงแสน,TH/N_/57,6497,3452,3045,3326
1219,ทต.เวียงเทิง,TH/N_/57/ทต.เวียงเทิง,TH/N_/57,5045,2708,2337,2744
1220,ทต.เสนางคนิคม,TH/NE/37/ทต.เสนางคนิคม,TH/NE/37,5763,2967,2796,1950
1221,ทต.เสม็ด,TH/E_/ชลบุรี/ทต.เสม็ด,TH/E_/ชลบุรี,22551,12377,10174,17440
1222,ทต.เสริมงาม,TH/N_/52/ทต.เสริมงาม,TH/N_/52,8331,4198,4133,2996
1223,ทต.เสลภูมิ,TH/NE/45/ทต.เสลภูมิ,TH/NE/45,13049,6734,6315,4975
1224,ทต.เสาธงหิน,TH/CT/12/ทต.เสาธงหิน,TH/CT/12,39574,21586,17988,26509
1225,ทต.เสาไห้,TH/CT/19/ทต.เสาไห้,TH/CT/19,3122,1622,1500,1441
1226,ทต.เสิงสาง,TH/NE/30/ทต.เสิงสาง,TH/NE/30,7649,3961,3688,3158
1227,ทต.เสือโฮก,TH/CT/18/ทต.เสือโฮก,TH/CT/18,7519,3873,3646,2430
1228,ทต.เหนือคลอง,TH/S_/81/ทต.เหนือคลอง,TH/S_/81,4292,2227,2065,2412
1229,ทต.เหมืองง่า,TH/N_/51/ทต.เหมืองง่า,TH/N_/51,15866,8631,7235,8194
1230,ทต.เหมืองใหม่,TH/CT/75/ทต.เหมืองใหม่,TH/CT/75,1974,1019,955,773
1231,ทต.เอราวัณ,TH/W_/71/ทต.เอราวัณ,TH/W_/71,960,488,472,723
1232,ทต.แกดำ,TH/NE/44/ทต.แกดำ,TH/NE/44,5344,2670,2674,1575
1233,ทต.แกลงกะเฉด,TH/E_/21/ทต.แกลงกะเฉด,TH/E_/21,7100,3683,3417,3279
1234,ทต.แก่งเสี้ยน,TH/W_/71/ทต.แก่งเสี้ยน,TH/W_/71,6335,3384,2951,3758
1235,ทต.แก่งเสือเต้น,TH/CT/16/ทต.แก่งเสือเต้น,TH/CT/16,2635,1346,1289,1050
1236,ทต.แก้งคร้อ,TH/NE/36/ทต.แก้งคร้อ,TH/NE/36,8626,4538,4088,4508
1237,ทต.แคนดง,TH/NE/31/ทต.แคนดง,TH/NE/31,5517,2764,2753,1885
1238,ทต.แคมป์สน,TH/CT/67/ทต.แคมป์สน,TH/CT/67,5420,2794,2626,3037
1239,ทต.แจ้ห่ม,TH/N_/52/ทต.แจ้ห่ม,TH/N_/52,3508,1835,1673,1670
1240,ทต.แชะ,TH/NE/30/ทต.แชะ,TH/NE/30,6092,3247,2845,3006
1241,ทต.แปลงยาว,TH/E_/24/ทต.แปลงยาว,TH/E_/24,6125,3140,2985,3465
1242,ทต.แพรกศรีราชา,TH/CT/18/ทต.แพรกศรีราชา,TH/CT/18,2508,1346,1162,1353
1243,ทต.แพรกษา,TH/CT/11/ทต.แพรกษา,TH/CT/11,26840,14243,12597,15544
1244,ทต.แม่กา,TH/N_/56/ทต.แม่กา,TH/N_/56,13120,6871,6249,6743
1245,ทต.แม่กุ,TH/W_/63/ทต.แม่กุ,TH/W_/63,6504,3302,3202,2861
1246,ทต.แม่ขรี,TH/S_/93/ทต.แม่ขรี,TH/S_/93,6239,3244,2995,3398
1247,ทต.แม่ขะจาน,TH/N_/57/ทต.แม่ขะจาน,TH/N_/57,2926,1557,1369,1579
1248,ทต.แม่คำ,TH/N_/57/ทต.แม่คำ,TH/N_/57,4578,2417,2161,2153
1249,ทต.แม่คำมี,TH/N_/54/ทต.แม่คำมี,TH/N_/54,7212,3681,3531,2706
1250,ทต.แม่จะเรา,TH/W_/63/ทต.แม่จะเรา,TH/W_/63,5311,2721,2590,2153
1251,ทต.แม่จัน,TH/N_/57/ทต.แม่จัน,TH/N_/57,3658,1954,1704,2420
1252,ทต.แม่จั๊วะ,TH/N_/54/ทต.แม่จั๊วะ,TH/N_/54,3789,1968,1821,1556
1253,ทต.แม่ตืน,TH/N_/51/ทต.แม่ตืน,TH/N_/51,3458,1803,1655,1349
1254,ทต.แม่ต้าน,TH/W_/63/ทต.แม่ต้าน,TH/W_/63,3832,1936,1896,1377
1255,ทต.แม่ทะ,TH/N_/52/ทต.แม่ทะ,TH/N_/52,6587,3332,3255,2955
1256,ทต.แม่ปั๋ง,TH/N_/เชียงใหม่/ทต.แม่ปั๋ง,TH/N_/เชียงใหม่,6136,3090,3046,2605
1257,ทต.แม่ปาน,TH/N_/54/ทต.แม่ปาน,TH/N_/54,2927,1445,1482,1140
1258,ทต.แม่ปืม,TH/N_/56/ทต.แม่ปืม,TH/N_/56,9054,4619,4435,3400
1259,ทต.แม่ปุ,TH/N_/52/ทต.แม่ปุ,TH/N_/52,3869,2025,1844,1333
1260,ทต.แม่พริก,TH/N_/52/ทต.แม่พริก,TH/N_/52,2605,1349,1256,1111
1261,ทต.แม่ยาว,TH/N_/57/ทต.แม่ยาว,TH/N_/57,21627,10927,10700,8977
1262,ทต.แม่ระมาด,TH/W_/63/ทต.แม่ระมาด,TH/W_/63,3991,2000,1991,1846
1263,ทต.แม่ริม,TH/N_/เชียงใหม่/ทต.แม่ริม,TH/N_/เชียงใหม่,9448,5032,4416,5752
1264,ทต.แม่ลานนา,TH/N_/54/ทต.แม่ลานนา,TH/N_/54,6542,3347,3195,2615
1265,ทต.แม่ลาน้อย,TH/N_/58/ทต.แม่ลาน้อย,TH/N_/58,3615,1818,1797,1778
1266,ทต.แม่ลาว,TH/N_/57/ทต.แม่ลาว,TH/N_/57,1816,958,858,803
1267,ทต.แม่วาง,TH/N_/เชียงใหม่/ทต.แม่วาง,TH/N_/เชียงใหม่,4579,2427,2152,2186
1268,ทต.แม่สรวย,TH/N_/57/ทต.แม่สรวย,TH/N_/57,1482,764,718,1093
1269,ทต.แม่สะเรียง,TH/N_/58/ทต.แม่สะเรียง,TH/N_/58,2851,1505,1346,1945
1270,ทต.แม่สาย,TH/N_/57/ทต.แม่สาย,TH/N_/57,28321,15125,13196,13624
1271,ทต.แม่หล่าย,TH/N_/54/ทต.แม่หล่าย,TH/N_/54,4418,2371,2047,1965
1272,ทต.แม่อาย,TH/N_/เชียงใหม่/ทต.แม่อาย,TH/N_/เชียงใหม่,10634,5481,5153,4853
1273,ทต.แม่เมาะ,TH/N_/52/ทต.แม่เมาะ,TH/N_/52,15399,7837,7562,8627
1274,ทต.แม่แจ่ม,TH/N_/เชียงใหม่/ทต.แม่แจ่ม,TH/N_/เชียงใหม่,2627,1331,1296,1606
1275,ทต.แม่แฝก,TH/N_/เชียงใหม่/ทต.แม่แฝก,TH/N_/เชียงใหม่,9061,4806,4255,3889
1276,ทต.แม่แรง,TH/N_/51/ทต.แม่แรง,TH/N_/51,7086,3681,3405,2886
1277,ทต.แม่ใจ,TH/N_/56/ทต.แม่ใจ,TH/N_/56,5006,2618,2388,2152
1278,ทต.แวงน่าง,TH/NE/44/ทต.แวงน่าง,TH/NE/44,5600,2891,2709,2178
1279,ทต.แวงน้อย,TH/NE/ขอนแก่น/ทต.แวงน้อย,TH/NE/ขอนแก่น,3072,1604,1468,1303
1280,ทต.แวงใหญ่,TH/NE/ขอนแก่น/ทต.แวงใหญ่,TH/NE/ขอนแก่น,5142,2661,2481,1744
1281,ทต.แว้ง,TH/S_/96/ทต.แว้ง,TH/S_/96,5352,2741,2611,1665
1282,ทต.แสงสว่าง,TH/NE/41/ทต.แสงสว่าง,TH/NE/41,4016,2003,2013,968
1283,ทต.แสนตุ้ง,TH/E_/23/ทต.แสนตุ้ง,TH/E_/23,3245,1640,1605,2354
1284,ทต.แสนสุข,TH/NE/34/ทต.แสนสุข,TH/NE/34,24737,11111,13626,10917
1285,ทต.แสวงหา,TH/CT/15/ทต.แสวงหา,TH/CT/15,3250,1655,1595,1258
1286,ทต.แหลมงอบ,TH/E_/23/ทต.แหลมงอบ,TH/E_/23,1811,925,886,718
1287,ทต.แหลมฟ้าผ่า,TH/CT/11/ทต.แหลมฟ้าผ่า,TH/CT/11,21309,10960,10349,9008
1288,ทต.แหลมสัก,TH/S_/81/ทต.แหลมสัก,TH/S_/81,4115,2046,2069,1233
1289,ทต.โกตาบารู,TH/S_/95/ทต.โกตาบารู,TH/S_/95,5877,2978,2899,1539
1290,ทต.โกรกพระ,TH/CT/60/ทต.โกรกพระ,TH/CT/60,2285,1191,1094,997
1291,ทต.โกสุมพิสัย,TH/NE/44/ทต.โกสุมพิสัย,TH/NE/44,9226,4817,4409,4204
1292,ทต.โคกกรวด,TH/NE/30/ทต.โคกกรวด,TH/NE/30,7142,3792,3350,4376
1293,ทต.โคกกลอย,TH/S_/82/ทต.โคกกลอย,TH/S_/82,3535,1838,1697,1710
1294,ทต.โคกคราม,TH/CT/72/ทต.โคกคราม,TH/CT/72,1537,813,724,862
1295,ทต.โคกตูม,TH/CT/16/ทต.โคกตูม,TH/CT/16,29571,14975,14596,11496
1296,ทต.โคกปีบ,TH/E_/25/ทต.โคกปีบ,TH/E_/25,5892,3088,2804,2308
1297,ทต.โคกพระ,TH/NE/44/ทต.โคกพระ,TH/NE/44,3416,1788,1628,1459
1298,ทต.โคกมะกอก,TH/E_/25/ทต.โคกมะกอก,TH/E_/25,2185,1145,1040,813
1299,ทต.โคกม่วง,TH/S_/90/ทต.โคกม่วง,TH/S_/90,7713,3494,4219,2734
1300,ทต.โคกม่วง,TH/S_/93/ทต.โคกม่วง,TH/S_/93,10386,5272,5114,3623
1301,ทต.โคกล่าม,TH/NE/45/ทต.โคกล่าม,TH/NE/45,7403,3728,3675,2063
1302,ทต.โคกศรี,TH/NE/46/ทต.โคกศรี,TH/NE/46,3175,1622,1553,1261
1303,ทต.โคกสวาย,TH/NE/30/ทต.โคกสวาย,TH/NE/30,5297,2715,2582,1773
1304,ทต.โคกสะอาด,TH/CT/67/ทต.โคกสะอาด,TH/CT/67,6551,3294,3257,2165
1305,ทต.โคกสำโรง,TH/CT/16/ทต.โคกสำโรง,TH/CT/16,5845,3047,2798,2434
1306,ทต.โคกสูง,TH/NE/ขอนแก่น/ทต.โคกสูง,TH/NE/ขอนแก่น,8874,4338,4536,2418
1307,ทต.โคกสูงสัมพันธ์,TH/NE/ขอนแก่น/ทต.โคกสูงสัมพันธ์,TH/NE/ขอนแก่น,4377,2306,2071,1301
1308,ทต.โคกโพธิ์,TH/S_/94/ทต.โคกโพธิ์,TH/S_/94,3356,1763,1593,1790
1309,ทต.โชคชัย,TH/NE/30/ทต.โชคชัย,TH/NE/30,12696,6659,6037,5507
1310,ทต.โซ่พิสัย,TH/NE/38/ทต.โซ่พิสัย,TH/NE/38,6615,3311,3304,2558
1311,ทต.โนนดินแดง,TH/NE/31/ทต.โนนดินแดง,TH/NE/31,9545,4856,4689,3576
1312,ทต.โนนตาล,TH/NE/45/ทต.โนนตาล,TH/NE/45,5227,2603,2624,1423
1313,ทต.โนนท่อน,TH/NE/ขอนแก่น/ทต.โนนท่อน,TH/NE/ขอนแก่น,9819,4977,4842,3104
1314,ทต.โนนบุรี,TH/NE/46/ทต.โนนบุรี,TH/NE/46,5223,2725,2498,1976
1315,ทต.โนนปอแดง,TH/NE/42/ทต.โนนปอแดง,TH/NE/42,11125,5542,5583,3460
1316,ทต.โนนศิลา,TH/NE/ขอนแก่น/ทต.โนนศิลา,TH/NE/ขอนแก่น,5600,2775,2825,1781
1317,ทต.โนนสมบูรณ์,TH/NE/30/ทต.โนนสมบูรณ์,TH/NE/30,5849,2938,2911,1810
1318,ทต.โนนสมบูรณ์,TH/NE/ขอนแก่น/ทต.โนนสมบูรณ์,TH/NE/ขอนแก่น,5925,2976,2949,1759
1319,ทต.โนนสว่าง,TH/NE/38/ทต.โนนสว่าง,TH/NE/38,6906,3492,3414,2342
1320,ทต.โนนสะอาด,TH/NE/41/ทต.โนนสะอาด,TH/NE/41,4489,2284,2205,1738
1321,ทต.โนนสัง,TH/NE/39/ทต.โนนสัง,TH/NE/39,8422,4277,4145,2768
1322,ทต.โนนสุวรรณ,TH/NE/31/ทต.โนนสุวรรณ,TH/NE/31,3319,1691,1628,1065
1323,ทต.โนนสูง,TH/NE/30/ทต.โนนสูง,TH/NE/30,9649,5016,4633,3967
1324,ทต.โนนสูงเปลือย,TH/NE/39/ทต.โนนสูงเปลือย,TH/NE/39,4747,2473,2274,2603
1325,ทต.โนนหัน,TH/NE/ขอนแก่น/ทต.โนนหัน,TH/NE/ขอนแก่น,4681,2457,2224,1525
1326,ทต.โนนแดง,TH/NE/30/ทต.โนนแดง,TH/NE/30,4318,2214,2104,1561
1327,ทต.โนนไทย,TH/NE/30/ทต.โนนไทย,TH/NE/30,3119,1664,1455,1374
1328,ทต.โป่ง,TH/E_/ชลบุรี/ทต.โป่ง,TH/E_/ชลบุรี,10532,5488,5044,6330
1329,ทต.โป่งน้ำร้อน,TH/E_/22/ทต.โป่งน้ำร้อน,TH/E_/22,9111,4203,4908,4209
1330,ทต.โพทะเล,TH/CT/66/ทต.โพทะเล,TH/CT/66,2494,1282,1212,1015
1331,ทต.โพธิ์กระสังข์,TH/NE/33/ทต.โพธิ์กระสังข์,TH/NE/33,9198,4575,4623,2048
1332,ทต.โพธิ์กลาง,TH/NE/30/ทต.โพธิ์กลาง,TH/NE/30,29308,13917,15391,13214
1333,ทต.โพธิ์ชัย,TH/NE/43/ทต.โพธิ์ชัย,TH/NE/43,7700,3982,3718,3710
1334,ทต.โพธิ์ชัย,TH/NE/45/ทต.โพธิ์ชัย,TH/NE/45,6742,3386,3356,1723
1335,ทต.โพธิ์ทอง,TH/CT/15/ทต.โพธิ์ทอง,TH/CT/15,4273,2261,2012,1829
1336,ทต.โพธิ์ประทับช้าง,TH/CT/66/ทต.โพธิ์ประทับช้าง,TH/CT/66,9641,4992,4649,3575
1337,ทต.โพธิ์พระยา,TH/CT/72/ทต.โพธิ์พระยา,TH/CT/72,3387,1865,1522,1710
1338,ทต.โพธิ์พิทักษ์,TH/CT/18/ทต.โพธิ์พิทักษ์,TH/CT/18,1585,828,757,571
1339,ทต.โพธิ์ไทร,TH/NE/34/ทต.โพธิ์ไทร,TH/NE/34,3058,1551,1507,1169
1340,ทต.โพน,TH/NE/46/ทต.โพน,TH/NE/46,3813,1926,1887,1091
1341,ทต.โพนงาม,TH/NE/34/ทต.โพนงาม,TH/NE/34,9077,4582,4495,3155
1342,ทต.โพนทราย,TH/NE/45/ทต.โพนทราย,TH/NE/45,5586,2804,2782,1939
1343,ทต.โพนทอง,TH/NE/45/ทต.โพนทอง,TH/NE/45,11404,5800,5604,4935
1344,ทต.โพนพิสัย,TH/NE/43/ทต.โพนพิสัย,TH/NE/43,2650,1324,1326,1229
1345,ทต.โพนสวรรค์,TH/NE/48/ทต.โพนสวรรค์,TH/NE/48,5369,2681,2688,1820
1346,ทต.โพนสา,TH/NE/43/ทต.โพนสา,TH/NE/43,3769,2000,1769,1135
1347,ทต.โพนสูง,TH/NE/41/ทต.โพนสูง,TH/NE/41,7402,3654,3748,1855
1348,ทต.โพรงมะเดื่อ,TH/CT/73/ทต.โพรงมะเดื่อ,TH/CT/73,10820,5656,5164,4178
1349,ทต.โพสังโฆ,TH/CT/17/ทต.โพสังโฆ,TH/CT/17,2046,1080,966,837
1350,ทต.โพหัก,TH/W_/70/ทต.โพหัก,TH/W_/70,10513,5413,5100,3677
1351,ทต.โรงช้าง,TH/CT/14/ทต.โรงช้าง,TH/CT/14,6320,3304,3016,2466
1352,ทต.ในเมือง,TH/N_/53/ทต.ในเมือง,TH/N_/53,1850,997,853,1010
1353,ทต.ในเมือง,TH/CT/64/ทต.ในเมือง,TH/CT/64,8148,4196,3952,3350
1354,ทต.ใหม่,TH/NE/30/ทต.ใหม่,TH/NE/30,12746,6421,6325,3472
1355,ทต.ไชยปราการ,TH/N_/เชียงใหม่/ทต.ไชยปราการ,TH/N_/เชียงใหม่,15829,8284,7545,6594
1356,ทต.ไชยวาน,TH/NE/41/ทต.ไชยวาน,TH/NE/41,8297,4248,4049,2351
1357,ทต.ไชโย,TH/CT/15/ทต.ไชโย,TH/CT/15,12700,6577,6123,4156
1358,ทต.ไทรงาม,TH/CT/62/ทต.ไทรงาม,TH/CT/62,4994,2601,2393,2458
1359,ทต.ไทรน้อย,TH/CT/12/ทต.ไทรน้อย,TH/CT/12,2511,1238,1273,1055
1360,ทต.ไทรย้อย,TH/CT/65/ทต.ไทรย้อย,TH/CT/65,8542,4315,4227,3110
1361,ทต.ไทรโยง-ไชยวาล,TH/NE/30/ทต.ไทรโยง-ไชยวาล,TH/NE/30,3655,1854,1801,1147
1362,ทต.ไผ่กองดิน,TH/CT/72/ทต.ไผ่กองดิน,TH/CT/72,1723,882,841,616
1363,ทต.ไผ่ต่ำ,TH/CT/19/ทต.ไผ่ต่ำ,TH/CT/19,4022,2042,1980,2099
1364,ทต.ไพรบึง,TH/NE/33/ทต.ไพรบึง,TH/NE/33,10890,5436,5454,2883
