index,labels,ids,parents,pop_MF,pop_F,pop_M,hholds
265,ทต.ทับมา,TH/E_/21/ทต.ทับมา,TH/E_/21,25022,12562,12460,16938
266,ทต.ทับสะแก,TH/W_/ประจวบคีรีขันธ์/ทต.ทับสะแก,TH/W_/ประจวบคีรีขันธ์,6591,3463,3128,3462
267,ทต.ทัพทัน,TH/CT/61/ทต.ทัพทัน,TH/CT/61,8851,4635,4216,3614
268,ทต.ทากาศ,TH/N_/51/ทต.ทากาศ,TH/N_/51,2977,1565,1412,1394
269,ทต.ทางพูน,TH/S_/นครศรีธรรมราช/ทต.ทางพูน,TH/S_/นครศรีธรรมราช,8890,4358,4532,2846
270,ทต.ทาสบชัย,TH/N_/51/ทต.ทาสบชัย,TH/N_/51,4958,2541,2417,2261
271,ทต.ทาสบเส้า,TH/N_/51/ทต.ทาสบเส้า,TH/N_/51,5337,2756,2581,2510
272,ทต.ที่วัง,TH/S_/นครศรีธรรมราช/ทต.ที่วัง,TH/S_/นครศรีธรรมราช,14192,7086,7106,6364
273,ทต.ทุ่งกระเชาะ,TH/W_/63/ทต.ทุ่งกระเชาะ,TH/W_/63,6034,3045,2989,2101
274,ทต.ทุ่งข้าวพวง,TH/N_/เชียงใหม่/ทต.ทุ่งข้าวพวง,TH/N_/เชียงใหม่,10842,5388,5454,3033
275,ทต.ทุ่งควายกิน,TH/E_/21/ทต.ทุ่งควายกิน,TH/E_/21,6639,3451,3188,3922
276,ทต.ทุ่งคอก,TH/CT/72/ทต.ทุ่งคอก,TH/CT/72,3331,1789,1542,1260
277,ทต.ทุ่งช้าง,TH/N_/55/ทต.ทุ่งช้าง,TH/N_/55,3351,1642,1709,1419
278,ทต.ทุ่งทราย,TH/CT/62/ทต.ทุ่งทราย,TH/CT/62,8800,4490,4310,3233
279,ทต.ทุ่งฝน,TH/NE/41/ทต.ทุ่งฝน,TH/NE/41,7221,3772,3449,2180
280,ทต.ทุ่งยั้ง,TH/N_/53/ทต.ทุ่งยั้ง,TH/N_/53,9807,5224,4583,4080
281,ทต.ทุ่งยาว,TH/S_/92/ทต.ทุ่งยาว,TH/S_/92,2464,1317,1147,1092
282,ทต.ทุ่งลาน,TH/S_/90/ทต.ทุ่งลาน,TH/S_/90,7356,3785,3571,2499
283,ทต.ทุ่งสะเดา,TH/E_/24/ทต.ทุ่งสะเดา,TH/E_/24,5376,2313,3063,3987
284,ทต.ทุ่งหลวง,TH/CT/64/ทต.ทุ่งหลวง,TH/CT/64,7136,3722,3414,2382
285,ทต.ทุ่งหลวง,TH/W_/70/ทต.ทุ่งหลวง,TH/W_/70,13769,6899,6870,4296
286,ทต.ทุ่งหลวง,TH/S_/84/ทต.ทุ่งหลวง,TH/S_/84,11305,5810,5495,4164
287,ทต.ทุ่งหว้า,TH/S_/91/ทต.ทุ่งหว้า,TH/S_/91,3239,1653,1586,1231
288,ทต.ทุ่งหัวช้าง,TH/N_/51/ทต.ทุ่งหัวช้าง,TH/N_/51,2527,1264,1263,1217
289,ทต.ทุ่งเสลี่ยม,TH/CT/64/ทต.ทุ่งเสลี่ยม,TH/CT/64,7417,3925,3492,3018
290,ทต.ทุ่งโฮ้ง,TH/N_/54/ทต.ทุ่งโฮ้ง,TH/N_/54,6111,3255,2856,3139
291,ทต.ท่าขนอน,TH/S_/84/ทต.ท่าขนอน,TH/S_/84,1927,962,965,1095
292,ทต.ท่าขอนยาง,TH/NE/44/ทต.ท่าขอนยาง,TH/NE/44,8858,4601,4257,6327
293,ทต.ท่าข้าม,TH/E_/24/ทต.ท่าข้าม,TH/E_/24,7630,3963,3667,8858
294,ทต.ท่าข้าม,TH/CT/67/ทต.ท่าข้าม,TH/CT/67,2492,1239,1253,968
295,ทต.ท่าข้าม,TH/S_/92/ทต.ท่าข้าม,TH/S_/92,1396,690,706,661
296,ทต.ท่าข้าม,TH/N_/เชียงใหม่/ทต.ท่าข้าม,TH/N_/เชียงใหม่,5748,2989,2759,3461
297,ทต.ท่าคันโท,TH/NE/46/ทต.ท่าคันโท,TH/NE/46,9134,4598,4536,2898
298,ทต.ท่าฉาง,TH/S_/84/ทต.ท่าฉาง,TH/S_/84,4766,2466,2300,1923
299,ทต.ท่าชนะ,TH/S_/84/ทต.ท่าชนะ,TH/S_/84,2912,1531,1381,1746
300,ทต.ท่าช้าง,TH/CT/26/ทต.ท่าช้าง,TH/CT/26,968,485,483,332
301,ทต.ท่าช้าง,TH/NE/30/ทต.ท่าช้าง,TH/NE/30,5021,2603,2418,2056
302,ทต.ท่าช้าง,TH/S_/90/ทต.ท่าช้าง,TH/S_/90,22110,11139,10971,9709
303,ทต.ท่าตะโก,TH/CT/60/ทต.ท่าตะโก,TH/CT/60,5631,2992,2639,2878
304,ทต.ท่าตูม,TH/S_/32/ทต.ท่าตูม,TH/S_/32,4091,2105,1986,1797
305,ทต.ท่าทองใหม่,TH/S_/84/ทต.ท่าทองใหม่,TH/S_/84,7054,3573,3481,3112
306,ทต.ท่านา,TH/S_/82/ทต.ท่านา,TH/S_/82,1042,539,503,590
307,ทต.ท่าน้ำอ้อยม่วงหัก,TH/CT/60/ทต.ท่าน้ำอ้อยม่วงหัก,TH/CT/60,5059,2631,2428,2737
308,ทต.ท่าบุญมี,TH/E_/ชลบุรี/ทต.ท่าบุญมี,TH/E_/ชลบุรี,6762,3481,3281,4145
309,ทต.ท่าปลา,TH/N_/53/ทต.ท่าปลา,TH/N_/53,2291,1200,1091,930
310,ทต.ท่าพระ,TH/NE/ขอนแก่น/ทต.ท่าพระ,TH/NE/ขอนแก่น,8953,4684,4269,4036
311,ทต.ท่าพริกเนินทราย,TH/E_/23/ทต.ท่าพริกเนินทราย,TH/E_/23,6634,3449,3185,2996
312,ทต.ท่าพล,TH/CT/67/ทต.ท่าพล,TH/CT/67,7637,3990,3647,2570
313,ทต.ท่าพุทรา,TH/CT/62/ทต.ท่าพุทรา,TH/CT/62,1521,767,754,625
314,ทต.ท่ามะกา,TH/W_/71/ทต.ท่ามะกา,TH/W_/71,8633,4606,4027,4687
315,ทต.ท่ามะเขือ,TH/CT/62/ทต.ท่ามะเขือ,TH/CT/62,3605,1860,1745,2024
316,ทต.ท่ามะเดื่อ,TH/S_/93/ทต.ท่ามะเดื่อ,TH/S_/93,4170,2161,2009,1785
317,ทต.ท่าม่วง,TH/W_/71/ทต.ท่าม่วง,TH/W_/71,10032,5375,4657,5460
318,ทต.ท่ายาง,TH/W_/76/ทต.ท่ายาง,TH/W_/76,27996,14713,13283,11452
319,ทต.ท่ายาง,TH/S_/86/ทต.ท่ายาง,TH/S_/86,10247,5206,5041,4663
320,ทต.ท่ายาง,TH/S_/นครศรีธรรมราช/ทต.ท่ายาง,TH/S_/นครศรีธรรมราช,5163,2713,2450,3021
321,ทต.ท่าระหัด,TH/CT/72/ทต.ท่าระหัด,TH/CT/72,8994,4872,4122,4993
322,ทต.ท่าลาน,TH/CT/19/ทต.ท่าลาน,TH/CT/19,7903,4094,3809,3996
323,ทต.ท่าลี่,TH/NE/42/ทต.ท่าลี่,TH/NE/42,1998,1042,956,815
324,ทต.ท่าล้อ,TH/W_/71/ทต.ท่าล้อ,TH/W_/71,9067,4759,4308,3878
325,ทต.ท่าวังทอง,TH/N_/56/ทต.ท่าวังทอง,TH/N_/56,15726,7632,8094,9546
326,ทต.ท่าวังผา,TH/N_/55/ทต.ท่าวังผา,TH/N_/55,5161,2686,2475,2700
327,ทต.ท่าวุ้ง,TH/CT/16/ทต.ท่าวุ้ง,TH/CT/16,2148,1125,1023,910
328,ทต.ท่าศาลา,TH/CT/16/ทต.ท่าศาลา,TH/CT/16,14713,7800,6913,7083
329,ทต.ท่าศาลา,TH/S_/นครศรีธรรมราช/ทต.ท่าศาลา,TH/S_/นครศรีธรรมราช,2868,1521,1347,1771
330,ทต.ท่าศาลา,TH/N_/เชียงใหม่/ทต.ท่าศาลา,TH/N_/เชียงใหม่,7028,3777,3251,5433
331,ทต.ท่าสะอาด,TH/NE/38/ทต.ท่าสะอาด,TH/NE/38,6897,3495,3402,1993
332,ทต.ท่าสะอ้าน,TH/E_/24/ทต.ท่าสะอ้าน,TH/E_/24,3198,1665,1533,2428
333,ทต.ท่าสัก,TH/N_/53/ทต.ท่าสัก,TH/N_/53,1203,629,574,567
